Team Name,Golfer0,Golfer1,Golfer2,Golfer3,Golfer4,Golfer5,Golfer6,Golfer7,Golfer8,Golfer9,Golfer10,Injury1,Injury2,Injury3,Injury4,Injury5,Injury6,Injury7,Injury8,Injury9,Injury10,Max_Injury_Salary,Sub_Salary,Earnings0,Earnings1,Earnings2,Earnings3,Earnings4,Earnings5,Earnings6,Earnings7,Earnings8,Earnings9,Earnings10,Tourney_Nb,Earn_Sum_Tourney,Earn_Sum_YTD,Payout_Sum_YTD,Period,Dates,Payout Tier,Tournament,Pay1,Pay2,Pay3,Pay4,Pay5,Pay6,Pay7,tourney_rank_min,tourney_rank_reverse,tourney_rank_max,pay_sum,weekly_payout
Hunter Crew,Shane Lowry,Matt Fitzpatrick,Wyndham Clark,Keegan Bradley,Rory McIlroy,Billy Horschel,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,,0.0,,,83270.0,,,,,,2,83270.0,367108.0,0.0,1,Jan 16 - 19,1,The American Express,35,25,15,10,5,0,0,47.0,25.0,48.0,0,0.0
Hunter Crew,Shane Lowry,Matt Fitzpatrick,Wyndham Clark,Keegan Bradley,Rory McIlroy,Billy Horschel,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,,,132732.0,,,,,,,,3,132732.0,499840.0,0.0,1,Jan 22 - 25,1,Farmers Insurance Open,35,25,15,10,5,0,0,30.0,39.0,34.0,0,0.0
I know ball,Collin Morikawa,Aaron Rai,Akshay Bhatia,Scottie Scheffler,Si Woo Kim,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,,,,0.0,,,,,,,1,0.0,0.0,0.0,1,Jan 9 - 12,1,Sony Open in Hawaii,35,25,15,10,5,0,0,65.0,1.0,72.0,0,0.0
I know ball,Collin Morikawa,Aaron Rai,Akshay Bhatia,Scottie Scheffler,Si Woo Kim,,,,,,,0.0,0.0,9.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.25,6.0,,,,,21032.0,,,,,,,2,21032.0,21032.0,0.0,1,Jan 16 - 19,1,The American Express,35,25,15,10,5,0,0,58.0,12.0,61.0,0,0.0
I know ball,Collin Morikawa,Aaron Rai,Akshay Bhatia,Scottie Scheffler,Si Woo Kim,,,,,,,0.0,0.0,9.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.25,6.0,,0.0,,,0.0,,,,,,,3,0.0,21032.0,0.0,1,Jan 22 - 25,1,Farmers Insurance Open,35,25,15,10,5,0,0,66.0,1.0,72.0,0,0.0
I love broccoli ,Sahith Theegala,Scottie Scheffler,Akshay Bhatia,Shane Lowry,Brian Harman,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,,,,80088.0,,,,,,,1,80088.0,80088.0,0.0,1,Jan 9 - 12,1,Sony Open in Hawaii,35,25,15,10,5,0,0,50.0,21.0,52.0,0,0.0
I love broccoli ,Sahith Theegala,Scottie Scheffler,Akshay Bhatia,Shane Lowry,Brian Harman,,,,,,,9.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.25,3.5,,,,,0.0,,,,,,,2,0.0,80088.0,0.0,1,Jan 16 - 19,1,The American Express,35,25,15,10,5,0,0,62.0,1.0,72.0,0,0.0
I love broccoli ,Sahith Theegala,Scottie Scheffler,Akshay Bhatia,Shane Lowry,Brian Harman,,,,,,,9.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.25,3.5,22646.0,,,0.0,,,,,,,,3,22646.0,102734.0,0.0,1,Jan 22 - 25,1,Farmers Insurance Open,35,25,15,10,5,0,0,56.0,11.0,62.0,0,0.0
In Rory We Trust,Harry Hall,Rory McIlroy,Justin Thomas,Jason Day,Taylor Pendrith,Alex Noren,Ben Griffin,Daniel Berger,Nico Echavarria,,,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.75,195025.0,,,,24382.0,,24382.0,0.0,948300.0,,,1,1192089.0,1192089.0,5.0,1,Jan 9 - 12,1,Sony Open in Hawaii,35,25,15,10,5,0,0,5.0,68.0,5.0,5,5.0
In Rory We Trust,Harry Hall,Rory McIlroy,Justin Thomas,Jason Day,Taylor Pendrith,Alex Noren,Ben Griffin,Daniel Berger,Nico Echavarria,,,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.75,83270.0,,959200.0,519200.0,,,267300.0,83270.0,0.0,,,2,1912240.0,3104329.0,15.0,1,Jan 16 - 19,1,The American Express,35,25,15,10,5,0,0,4.0,69.0,4.0,10,10.0
