Tourney_Nb,Team Name,InjurySub,Golfer1,Golfer2,Golfer3,Golfer4,Golfer5,Golfer6,Golfer7,Golfer8,Golfer9,Golfer10
1,General Patton's Troops,Jake Knapp,Ludvig Aberg,Patrick Cantlay,Harris English,Maverick McNealy,Brian Harman,Stephan Jaeger,Patton Kizzire,Patrick Fishburn,,
1,General Patton's Troops,,,,,24382.0,80088.0,513300.0,,283838.0,,
1,Gimme Dat,Christiaan Bezuidenhout,Collin Morikawa,Justin Thomas,Aaron Rai,Russell Henley,Rasmus Hojgaard,,,,,
1,Gimme Dat,,,,,195025.0,,,,,,
1,Go back to your shanties!,Adam Hadwin,Viktor Hovland,Tommy Fleetwood,Jason Day,Rasmus Hojgaard,Christiaan Bezuidenhout,Nicolai Hojgaard,Alex Noren,Erik van Rooyen,Matteo Manassero,
1,Go back to your shanties!,19314.0,,,,,,,,52138.0,,
1,Goin’ Homa,Eric Cole,Aaron Rai,Ludvig Aberg,Tyrrell Hatton,Tom Hoge,Max Homa,Min Woo Lee,Mackenzie Hughes,Stephan Jaeger,,
1,Goin’ Homa,,,,,24382.0,,,,513300.0,,
1,Golf Ball Whacker Guy,Rory McIlroy,Xander Schauffele,Ludvig Aberg,Max Homa,,,,,,,
1,Golf Ball Whacker Guy,,,,,,,,,,,
1,Good Money After Bad,Scottie Scheffler,Sungjae Im,Sahith Theegala,Sepp Straka,Christiaan Bezuidenhout,Tom Hoge,Chris Kirk,Brian Harman,Adam Hadwin,Ben Griffin,Nick Taylor
1,Good Money After Bad,,,36975.0,52138.0,,24382.0,,80088.0,19314.0,24382.0,1566000.0
1,Good Ol Boys,Thomas Detry,Hideki Matsuyama,Maverick McNealy,Christiaan Bezuidenhout,Sepp Straka,Jhonattan Vegas,Aaron Rai,Tom Hoge,Stephan Jaeger,Chris Kirk,Taylor Pendrith
1,Good Ol Boys,,132675.0,24382.0,,52138.0,,,24382.0,513300.0,,24382.0
1,Hack to the Future,Brian Harman,Collin Morikawa,Wyndham Clark,Akshay Bhatia,Taylor Pendrith,Austin Eckroat,,,,,
1,Hack to the Future,,,,,24382.0,,,,,,
1,Hole 6,Keegan Bradley,Justin Thomas,Sungjae Im,Matt Fitzpatrick,Jason Day,Sepp Straka,Taylor Pendrith,Matt McCarty,,,
1,Hole 6,,,,,,52138.0,24382.0,18444.0,,,
1,Hunter Crew,Shane Lowry,Matt Fitzpatrick,Wyndham Clark,Keegan Bradley,Rory McIlroy,Billy Horschel,,,,,
1,Hunter Crew,,,,283838.0,,,,,,,
1,I know ball,Collin Morikawa,Aaron Rai,Akshay Bhatia,Scottie Scheffler,Si Woo Kim,,,,,,
1,I know ball,,,,,,,,,,,
1,I love broccoli ,Sahith Theegala,Scottie Scheffler,Akshay Bhatia,Shane Lowry,Brian Harman,,,,,,
1,I love broccoli ,,,,,80088.0,,,,,,
1,In Rory We Trust,Harry Hall,Rory McIlroy,Justin Thomas,Jason Day,Taylor Pendrith,Alex Noren,Ben Griffin,Daniel Berger,Nico Echavarria,,
1,In Rory We Trust,195025.0,,,,24382.0,,24382.0,,948300.0,,
1,It Burns When I Pee,Rickie Fowler,Justin Thomas,Sam Burns,Shane Lowry,Maverick McNealy,Tom Hoge,Aaron Rai,Alex Noren,Ben Griffin,Taylor Pendrith,
1,It Burns When I Pee,,,,,24382.0,24382.0,,,24382.0,24382.0,
1,Jackets and Jeans,Cameron Young,Ludvig Aberg,Max Homa,Austin Eckroat,Min Woo Lee,Adam Hadwin,Alex Noren,Cam Davis,Brian Harman,,
1,Jackets and Jeans,,,,,,19314.0,,,80088.0,,
1,John Daly's Fitness Plan,Andrew Novak,Sam Burns,Russell Henley,Shane Lowry,Davis Thompson,Sepp Straka,Tom Hoge,Austin Eckroat,Brian Harman,Alex Noren,Ben Griffin
